Code Name	Organisation Name	UPC Short Name	Organisation Type	Web URL	In Use	School Code	Institution Code	Placement Code	Sponsor Code	Department Code	User Defined Field 01	User Defined Field 02	User Defined Field 03	User Defined Field 04	User Defined Field 05	User Defined Field 06	User Defined Field 07	User Defined Field 08	User Defined Field 09	User Defined Field 10	User Defined Field 11	User Defined Field 12	User Defined Field 13	User Defined Field 14	User Defined Field 15	User Defined Field 16	User Defined Field 17	User Defined Field 18	User Defined Field 19	User Defined Field 20	Agent code	Level	Parent Organisation	Eng Primary Lang?	Status	Status start date	Status end date	Academic year style	Admissibility	Country code	Region code
54	Hollins University		HEI	"http://www.hollins.edu	"	Y						US	IAU-007520	IMPORT~27/02/20																	Hollins University											
55	Norwegian University of Science and Technology		HEI	"http://www.ntnu.no	"	Y						NO	IAU-012763	IMPORT~27/02/20																	Norges teknisk-naturvitenskaplige universitet											
56	Oglethorpe University		HEI	"http://www.oglethorpe.edu	"	Y						US	IAU-013014	IMPORT~27/02/20																	Oglethorpe University											
57	Queens University of Charlotte		HEI	"http://www.queens.edu	"	Y						US	IAU-013844	IMPORT~27/02/20																	Queens University of Charlotte											
131	Qatar University		HEI	http://www.qu.edu.qa/	Y						QA	IAU-020442	JEM25~28/01/21																	Qatar University											
128	The Hong Kong University of Science and Technology		HEI	"http://www.ust.hk	"	Y						HK	IAU-016467	IMPORT~27/02/20																	The Hong Kong University of Science and Technology											
129	The University of Hong Kong		HEI	"http://www.hku.hk	"	Y						HK	IAU-016576	IMPORT~27/02/20																	The University of Hong Kong											
130	Montpellier SupAgro		HEI	"https://www.supagro.fr/web/en/	"	Y						FR	STA-00130	IMPORT~27/02/20																	Montpellier SupAgro											
132	University of Tübingen		HEI	"http://www.uni-tuebingen.de	"	Y						DE	IAU-003989	IMPORT~27/02/20																	Eberhard Karls Universität Tübingen											
133	University of Zurich		HEI	"http://www.uzh.ch/	"	Y						CH	IAU-019377	IMPORT~27/02/20																	Universität Zürich											
134	Leuphana University of Lüneburg		HEI	"http://www.leuphana.de	"	Y						DE	IAU-010919	IMPORT~27/02/20																	Leuphana Universität Lüneburg											
